originals	tokenized	transliterated
rijrichting	r ij r i ch t i ng	r ɛɪ r ɪ x t ɪ ŋ
Rijsel	R ij s e l	r ɛɪ s ə l
rijsessies	r ij s e ss ie s	r ɛɪ s ɛ s i s
rijst	r ij s t	r ɛɪ s t
rijstepap	r ij s t e p a p	r ɛɪ s t e p ɑ p
rijstroken	r ij s t r o k e n	r ɛɪ s t r o k ə n
Rijswijk	R ij s w ij k	r ɛɪ s ʋ ɛɪ k
Rijswijker	R ij s w ij k e r	r ɛɪ s ʋ ɛɪ k ə r
rijtje	r ij tj e	r ɛɪ c ə
rijtjes	r ij tj e s	r ɛɪ c ɛ s
rijtoer	r ij t oe r	r ɛɪ t u r
rijverbod	r ij v e r b o d	r ɛɪ v ɛ r b ɔ t
rijverenigingen	r ij v e r e n i g i ng e n	r ɛɪ v e r e n i ɣ ɪ ŋ ə n
Rijwielbedrijf	R ij w ie l b e d r ij f	r ɛɪ ʋ i l b ə d r ɛɪ f
Rijwielstallingen	R ij w ie l s t a ll i ng e n	r ɛɪ ʋ i l s t ɑ l ɪ ŋ ə n
rijzende	r ij z e n d e	r ɛɪ z ɛ n d ə
Rik	R i k	r ɪ k
Riley	R i l e y	r i l ɛ i
rimpelige	r i m p e l i g e	r ɪ m p e l ə ɣ ə
rimpels	r i m p e l s	r ɪ m p ɛ l s
Rinette	R i n e tt e	r i n ɛ t ə
ring	r i ng	r ɪ ŋ
Ring	R i ng	r ɪ ŋ
Ring-Call	R i ng - C a ll	r ɪ ŋ k ɑ l
ringen	r i ng e n	r ɪ ŋ ə n
ringmuur	r i ng m uu r	r ɪ ŋ m y r
rinkelen	r i n k e l e n	r ɪ ŋ k e l ə n
Rio	R i o	r i o
riolen	r i o l e n	r i o l ə n
riolering	r i o l e r i ng	r i o l e r ɪ ŋ
Rishton	R i s h t o n	r i s h t ɔ n
risico	r i s i c o	r i s i k o
Risico-analyse	R i s i c o - a n a l y s e	r i s i k o a n a l i s ə
risicobeheer	r i s i c o b e h ee r	r i s i k o b ə h e r
risicodeel	r i s i c o d ee l	r i s i k o d e l
risicoleerlingen	r i s i c o l ee r l i ng e n	r i s i k o l e r l ɪ ŋ ə n
risicoverzekering	r i s i c o v e r z e k e r i ng	r i s i k o v ɛ r z e k e r ɪ ŋ
Rising	R i s i ng	r i s ɪ ŋ
riskeren	r i s k e r e n	r ɪ s k e r ə n
rit	r i t	r ɪ t
Rita	R i t a	r i t a
ritme	r i t m e	r ɪ t m ə
ritmes	r i t m e s	r ɪ t m ɛ s
ritmesectie	r i t m e s e c t ie	r ɪ t m e s ɛ k s i
ritmiek	r i t m ie k	r ɪ t m i k
rits	r i t s	r ɪ t s
ritten	r i tt e n	r ɪ t ə n
rittenpatroon	r i tt e n p a t r oo n	r ɪ t ɛ n p ɑ t r o n
ritueel	r i t u ee l	r i t y e l
rituele	r i t u e l e	r i t y e l ə
ritzege	r i t z e g e	r ɪ t z e ɣ ə
Riva	R i v a	r i v a
rivier	r i v ie r	r i v i r
Rivièrahal	R i v i è r a h a l	r i v i ɛ: r a h ɑ l
rivieren	r i v ie r e n	r i v i r ə n
rivieren-gebied	r i v ie r e n - g e b ie d	r i v i r e n ɣ ə b i t
riviertje	r i v ie r tj e	r i v i r c ə
road	r o a d	r o ɑ t
Road	R o a d	r o ɑ t
roadboek	r o a d b oe k	r o ɑ t b u k
Rob	R o b	r ɔ p
Robben	R o bb e n	r ɔ b ə n
Robbert	R o bb e r t	r ɔ b ə r t
Robbie	R o bb ie	r ɔ b i
Robeco-fondsen	R o b e c o - f o n d s e n	r o b ə k o f ɔ n t s ə n
Robert	R o b e r t	r o b ə r t
Robiller	R o b i ll e r	r o b ɪ l ə r
Robin	R o b i n	r o b ɪ n
Robinson	R o b i n s o n	r o b ɪ n s ɔ n
roboscans	r o b o s c a n s	r o b ɔ s k ɑ n s
robotachtige	r o b o t a ch t i g e	r o b o t ɑ x t ə ɣ ə
robotfoto	r o b o t f o t o	r o b ɔ t f o t o
Robur	R o b u r	r o b œ r
robuust	r o b uu s t	r o b y s t
robuuste	r o b uu s t e	r o b y s t ə
Rocca	R o cc a	r ɔ k a
Rocco	R o cc o	r ɔ k o
Rock	R o ck	r ɔ k
rockband	r o ck b a n d	r ɔ k b ɑ n t
Rocks	R o ck s	r ɔ k s
Rockweekend	R o ck w ee k e n d	r ɔ k ʋ i k ɛ n t
Roda	R o d a	r o d a
roddelpers	r o dd e l p e r s	r ɔ d ɛ l p ɛ r s
rode	r o d e	r o d ə
Rode	R o d e	r o d ə
rodehond	r o d e h o n d	r o d e h ɔ n t
Rodenberg	R o d e n b e r g	r o d ɛ n b ə r ɣ
rodeo	r o d e o	r o d ɛ o
Rodrigo	R o d r i g o	r ɔ d r i ɣ o
Rodriguez	R o d r i gu e z	r ɔ d r i g ɛ s
roebel	r oe b e l	r u b ə l
roeisloepen	r oei s l oe p e n	r ui s l u p ə n
roeivloot	r oei v l oo t	r ui v l o t
roekeloosheid	r oe k e l oo s h ei d	r u k e l o s h ɛɪ t
Roel	R oe l	r u l
roem	r oe m	r u m
roemde	r oe m d e	r u m d ə
Roemenie	R oe m e n ie	r u m e n i
Roemenië	R oe m e n i ë	r u m e n i ə
Roemer	R oe m e r	r u m ə r
roep	r oe p	r u p
roepen	r oe p e n	r u p ə n
roepies	r oe p ie s	r u p i s
roeping	r oe p i ng	r u p ɪ ŋ
roept	r oe p t	r u p t
roer	r oe r	r u r
roeren	r oe r e n	r u r ə n
roerwerk	r oe r w e r k	r u r ʋ ɛ r k
Roes	R oe s	r u s
Roeselare	R oe s e l a r e	r u s e l a r ə
roet	r oe t	r u t
roffel	r o ff e l	r ɔ f ə l
Roger	R o g e r	r o ɣ ə r
Roggel	R o gg e l	r ɔ ɣ ə l
Rogier	R o g ie r	r o ɣ i r
roken	r o k e n	r o k ə n
roker	r o k e r	r o k ə r
rokken	r o kk e n	r ɔ k ə n
Roks	R o k s	r ɔ k s
Rokus	R o k u s	r o k œ s
rol	r o l	r ɔ l
Roland	R o l a n d	r o l ɑ n t
rolators	r o l a t o r s	r o l a t ɔ r s
rolden	r o l d e n	r ɔ l d ə n
Rolgordijna	R o l g o r d ij n a	r ɔ l ɣ ɔ r d ɛɪ n a
Röling	R ⁇ l i ng	r ⁇ l ɪ ŋ
Rolink	R o l i n k	r o l ɪ ŋ k
Roll	R o ll	r ɔ l
rollen	r o ll e n	r ɔ l ə n
rollende	r o ll e n d e	r ɔ l ɛ n d ə
rollentestbanken	r o ll e n t e s t b a n k e n	r ɔ l ɛ n t ɛ s t b ɑ ŋ k ə n
roller	r o ll e r	r ɔ l ə r
Rollercoasters	R o ll e r c o a s t e r s	r ɔ l ɛ r k o ɑ s t ɛ r s
rolletje	r o ll e tj e	r ɔ l e c ə
rolletjes	r o ll e tj e s	r ɔ l e c ɛ s
Rollins	R o ll i n s	r ɔ l ɪ n s
rolreef	r o l r ee f	r ɔ l r e f
rolski-begrippen	r o l s k i - b e g r i pp e n	r ɔ l s k i b ə ɣ r ɪ p ə n
rolstoel	r o l s t oe l	r ɔ l s t u l
rolstoelbasketbal	r o l s t oe l b a s k e t b a l	r ɔ l s t u l b ɑ s k ɛ t b ɑ l
rolstoelen	r o l s t oe l e n	r ɔ l s t u l ə n
rolstoeltafeltennis	r o l s t oe l t a f e l t e nn i s	r ɔ l s t u l t a f ɛ l t ɛ n ɪ s
Roma	R o m a	r o m a
roman	r o m a n	r o m ɑ n
Romande	R o m a n d e	r o m ɑ n d ə
Romano	R o m a n o	r o m a n o
romans	r o m a n s	r o m ɑ n s
romantiek	r o m a n t ie k	r o m ɑ n t i k
romantische	r o m a n t i sch e	r o m ɑ n t i s ə
Rombouts	R o m b ou t s	r ɔ m b ɑu t s
Rome	R o m e	r o m ə
Romeinen	R o m ei n e n	r o m ɛɪ n ə n
Romeins	R o m ei n s	r o m ɛɪ n s
Romeinse	R o m ei n s e	r o m ɛɪ n s ə
Romeyn	R o m e y n	r o m e i n
Romijn	R o m ij n	r o m ɛɪ n
rommel	r o mm e l	r ɔ m ə l
rommelige	r o mm e l i g e	r ɔ m e l ə ɣ ə
Rommert	R o mm e r t	r ɔ m ɛ r t
Rompuy	R o m p u y	r ɔ m p y i
Romy	R o m y	r o m i
Ron	R o n	r ɔ n
Ronald	R o n a l d	r o n ɑ l t
Ronaldo	R o n a l d o	r o n ɑ l d o
rond	r o n d	r ɔ n t
Rond	R o n d	r ɔ n t
rondbrengen	r o n d b r e ng e n	r ɔ n t b r ɛ ŋ ə n
ronddraaien	r o n dd r aai e n	r ɔ n d r aɪ ə n
ronde	r o n d e	r ɔ n d ə
Ronde	R o n d e	r ɔ n d ə
ronden	r o n d e n	r ɔ n d ə n
rondgang	r o n d g a ng	r ɔ n t ɣ ɑ ŋ
rondje	r o n d j e	r ɔ n d j ə
rondkijken	r o n d k ij k e n	r ɔ n t k ɛɪ k ə n
rondleidingen	r o n d l ei d i ng e n	r ɔ n t l ɛɪ d ɪ ŋ ə n
rondlopen	r o n d l o p e n	r ɔ n t l o p ə n
Rondo	R o n d o	r ɔ n d o
rondom	r o n d o m	r ɔ n d ɔ m
Rondom	R o n d o m	r ɔ n d ɔ m
rondreis	r o n d r ei s	r ɔ n d r ɛɪ s
rondritten	r o n d r i tt e n	r ɔ n d r ɪ t ə n
rondscheuren	r o n d s ch eu r e n	r ɔ n t s x ø r ə n
rondweg	r o n d w e g	r ɔ n d ʋ ɛ ɣ
rondzeilen	r o n d z ei l e n	r ɔ n t z ɛɪ l ə n
ronselen	r o n s e l e n	r ɔ n s e l ə n
röntgen	r ö n t g e n	r œ n t ɣ ə n
röntgenfoto's	r ö n t g e n f o t o ' s	r œ n t ɣ ə n f o t o s
Röntgenstralen	R ö n t g e n s t r a l e n	r œ n t ɣ ə n s t r a l ə n
rood	r oo d	r o t
Rood	R oo d	r o t
Roodebeecklaan	R oo d e b ee ck l aa n	r o d e b e k l a n
roodwitte	r oo d w i tt e	r o d ʋ ɪ t ə
roodzwarte	r oo d z w a r t e	r o t z ʋ ɑ r t ə
roof	r oo f	r o f
roofridder	r oo f r i dd e r	r o f r ɪ d ə r
Rooi	R ooi	r oi
rook	r oo k	r o k
rookmachine	r oo k m a ch i n e	r o k m ɑ x i n ə
rookontwikkeling	r oo k o n t w i kk e l i ng	r o k ɔ n t ʋ ɪ k e l ɪ ŋ
rooms-katholieke	r oo m s - k a t h o l ie k e	r o m s k a t h o l i k ə
Rooms-Katholieke	R oo m s - K a t h o l ie k e	r o m s k a t h o l i k ə
roos	r oo s	r o s
Roos	R oo s	r o s
Roosendaal	R oo s e n d aa l	r o s ɛ n d a l
Roosevelt	R oo s e v e l t	r o s e v ɛ l t
rooster	r oo s t e r	r o s t ə r
roosteren	r oo s t e r e n	r o s t e r ə n
roosters	r oo s t e r s	r o s t ɛ r s
roots	r oo t s	r o t s
Roovers	R oo v e r s	r o v ɛ r s
Rooy	R oo y	r o i
Roque	R o qu e	r o k
Rory	R o r y	r o r i
Ros	R o s	r ɔ s
Rosa	R o s a	r o s a
Rosberg	R o s b e r g	r ɔ s b ə r ɣ
rosé	r o s é	r o s e
Rosenthal	R o s e n t h a l	r o s ɛ n t h ɑ l
Rossi	R o ss i	r ɔ s i
Rossum	R o ss u m	r ɔ s œ m
rot	r o t	r ɔ t
Rotenburg	R o t e n b u r g	r o t ɛ n b œ r ɣ
roteren	r o t e r e n	r o t e r ə n
Rotglà	R o t g l à	r ɔ t ɣ l a
rotonde	r o t o n d e	r o t ɔ n d ə
rotsblokken	r o t s b l o kk e n	r ɔ t s b l ɔ k ə n
Rotsblokken	R o t s b l o kk e n	r ɔ t s b l ɔ k ə n
Rotsee	R o t s ee	r ɔ t s e
rotskangoeroes	r o t s k a ng oe r oe s	r ɔ t s k ɑ ŋ u r u s
rotspartijen	r o t s p a r t ij e n	r ɔ t s p ɑ r t ɛɪ ə n
Rotstraal	R o t s t r aa l	r ɔ t s t r a l
Rotten	R o tt e n	r ɔ t ə n
Rotterdam	R o tt e r d a m	r ɔ t ɛ r d ɑ m
Rotterdammer	R o tt e r d a mm e r	r ɔ t ɛ r d ɑ m ə r
Rotterdams	R o tt e r d a m s	r ɔ t ɛ r d ɑ m s
Rotterdamse	R o tt e r d a m s e	r ɔ t ɛ r d ɑ m s ə
Rotterdem	R o tt e r d e m	r ɔ t ɛ r d ɛ m
rottigheid	r o tt i gh ei d	r ɔ t i g ɛɪ t
rotzooi	r o t z ooi	r ɔ t z oi
Roughton	R ou gh t o n	r ɑu g t ɔ n
roulette	r ou l e tt e	r ɑu l ɛ t ə
Rouse	R ou s e	r ɑu s ə
route	r ou t e	r u t ə
Route	R ou t e	r ɑu t ə
routebeschijving	r ou t e b e s ch ij v i ng	r u t e b ə s x ɛɪ v ɪ ŋ
routebeschrijving	r ou t e b e s ch r ij v i ng	r u t e b ə s x r ɛɪ v ɪ ŋ
routines	r ou t i n e s	r ɑu t i n ɛ s
Rouveen	R ou v ee n	r ɑu v e n
Rouvoet	R ou v oe t	r ɑu v u t
rouwboodschap	r ou w b oo d s ch a p	r ɑu ʋ b o t s x ɑ p
Rouwen	R ou w e n	r ɑu ʋ ə n
Rouwenhorst	R ou w e n h o r s t	r ɑu ʋ e n h ɔ r s t
rouwkaart	r ou w k aa r t	r ɑu ʋ k a r t
Rovecom	R o v e c o m	r o v e k ɔ m
Rover	R o v e r	r o v ə r
Rowan	R o w a n	r o ʋ ɑ n
rowans	r o w a n s	r o ʋ ɑ n s
Rowling	R o w l i ng	r o ʋ l ɪ ŋ
Rowney	R o w n e y	r o ʋ n ɛ i
Roy	R o y	r o i
royaal	r o y aa l	r o j a l
Royal	R o y a l	r o i ɑ l
royale	r o y a l e	r o i a l ə
Royale	R o y a l e	r o i a l ə
roze	r o z e	r o z ə
Roze	R o z e	r o z ə
rozen	r o z e n	r o z ə n
Rozendaal	R o z e n d aa l	r o z ɛ n d a l
rubber	r u bb e r	r œ b ə r
rubberen	r u bb e r e n	r œ b ə r ə n
Rubelli	R u b e ll i	r y b ə l i
rubriek	r u b r ie k	r œ b r i k
rubrieken	r u b r ie k e n	r œ b r i k ə n
Ruby	R u b y	r y b i
Ruckauf	R u ck au f	r œ k ɑu f
Rudi	R u d i	r y d i
rudimentaire	r u d i m e n t ai r e	r y d i m ɛ n t ɑɪ r ə
Rudolfshügel	R u d o l f s h ü g e l	r y d ɔ l f s h y ɣ ə l
rug	r u g	r œ ɣ
Rug	R u g	r œ ɣ
Rugbyfoto	R u g b y f o t o	r œ ɣ b i f o t o
rugbyfotografie	r u g b y f o t o g r a f ie	r œ ɣ b i f o t ɔ ɣ r a f i
ruggegraat	r u gg e g r aa t	r œ ɣ ə ɣ r a t
rugklachten	r u g k l a ch t e n	r œ ɣ k l ɑ x t ə n
rugleuning	r u g l eu n i ng	r œ ɣ l ø n ɪ ŋ
rugnummer	r u g n u mm e r	r œ ɣ n œ m ə r
rugpijn	r u g p ij n	r œ ɣ p ɛɪ n
rugvinnen	r u g v i nn e n	r œ ɣ v ɪ n ə n
Rugzaktoeristen	R u g z a k t oe r i s t e n	r œ ɣ z ɑ k t u r ɪ s t ə n
Ruigoord	R ui g oo r d	r œy ɣ o r t
ruikt	r ui k t	r œy k t
ruil	r ui l	r œy l
ruilen	r ui l e n	r œy l ə n
ruim	r ui m	r œy m
Ruim	R ui m	r œy m
ruime	r ui m e	r œy m ə
Ruime	R ui m e	r œy m ə
ruimen	r ui m e n	r œy m ə n
ruimer	r ui m e r	r œy m ə r
ruimschoots	r ui m s ch oo t s	r œy m s x o t s
ruimt	r ui m t	r œy m t
ruimte	r ui m t e	r œy m t ə
Ruimte	R ui m t e	r œy m t ə
ruimtelijke	r ui m t e l ij k e	r œy m t e l ə k ə
Ruimtelijke	R ui m t e l ij k e	r œy m t e l ə k ə
ruimten	r ui m t e n	r œy m t ə n
ruimteonderzoek	r ui m t e o n d e r z oe k	r œy m t e ɔ n d ɛ r z u k
ruimteschip	r ui m t e s ch i p	r œy m t ɛ s x ɪ p
ruimteveer	r ui m t e v ee r	r œy m t e v e r
ruin	r ui n	r œy n
Ruinerwold	R ui n e r w o l d	r œy n e r ʋ ɔ l t
ruit	r ui t	r œy t
ruiters	r ui t e r s	r œy t ɛ r s
ruiterslatijn	r ui t e r s l a t ij n	r œy t ɛ r s l a t ɛɪ n
Ruiz	R ui z	r œy s
rukt	r u k t	r œ k t
rukwinden	r u k w i n d e n	r y k ʋ ɪ n d ə n
rul	r u l	r œ l
rumba	r u m b a	r u m b a
Rumbones	R u m b o n e s	r œ m b o n ɛ s
rumoer	r u m oe r	r y m u r
rundveedierenartsen	r u n d v ee d ie r e n a r t s e n	r œ n t v e d i r e n ɑ r t s ə n
rundveehouder	r u n d v ee h ou d e r	r œ n t v e h ɑu d ə r
Rundveehouderij	R u n d v ee h ou d e r ij	r œ n t v e h ɑu d e r ɛɪ
runnen	r u nn e n	r œ n ə n
running	r u nn i ng	r œ n ɪ ŋ
Ruperts	R u p e r t s	r y p ɛ r t s
Rus	R u s	r œ s
Rushdie	R u s h d ie	r y s h d i
Rusland	R u s l a n d	r œ s l ɑ n t
Russell	R u ss e ll	r œ s ɛ l
Russen	R u ss e n	r œ s ə n
Russin	R u ss i n	r œ s ɪ n
Russisch	R u ss i sch	r œ s i s
russische	r u ss i sch e	r œ s i s ə
Russische	R u ss i sch e	r œ s i s ə
rust	r u s t	r œ s t
Rusta	R u s t a	r œ s t a
rustdag	r u s t d a g	r œ s t d ɑ ɣ
ruste	r u s t e	r œ s t ə
rusteloze	r u s t e l o z e	r œ s t e l o z ə
Rustem	R u s t e m	r œ s t ɛ m
rusten	r u s t e n	r œ s t ə n
rustgevend	r u s t g e v e n d	r œ s t ɣ ə v ɛ n t
Rusthoff	R u s t h o ff	r œ s t h ɔ f
rusticolus	r u s t i c o l u s	r œ s t i k o l œ s
rusticus	r u s t i c u s	r œ s t i k œ s
rustieke	r u s t ie k e	r œ s t i k ə
rustig	r u s t i g	r œ s t ə ɣ
rustige	r u s t i g e	r œ s t ə ɣ ə
rustiger	r u s t i g e r	r œ s t ə ɣ ə r
rustpauze	r u s t p au z e	r œ s t p ɑu z ə
rustplaatsen	r u s t p l aa t s e n	r œ s t p l a t s ə n
rustte	r u s tt e	r œ s t ə
rusttijd	r u s tt ij d	r œ s t ɛɪ t
Rutger	R u t g e r	r œ t ɣ ə r
Rutgers	R u t g e r s	r œ t ɣ ə r s
Rutte	R u tt e	r œ t ə
Ruud	R uu d	r y t
Ruur-lo	R uu r - l o	r y r l o
Ruurlo	R uu r l o	r y r l o
ruw	r u w	r y ʋ
ruwe	r u w e	r y ʋ ə
Ruyker	R u y k e r	r y i k ə r
ruzie	r u z ie	r y z i
rvc	r v c	r v k
Rwandees	R w a n d ee s	r ʋ ɑ n d e s
Ryckholt	R y ck h o l t	r i k h ɔ l t
s	s	s
S-Bahn	S - B a h n	s b a n
s-Graveland	s - G r a v e l a n d	s ɣ r a v e l ɑ n t
s-Hertogenbosch	s - H e r t o g e n b o s ch	s h ɛ r t o ɣ ə n b ɔ s x
sa	s a	s a
Sa	S a	s a
saai	s aai	s aɪ
saaie	s aai e	s aɪ ə
Sabouschka	S a b ou s ch k a	s a b ɑu s x k a
Sabre	S a b r e	s ɑ b r ə
Sacco	S a cc o	s ɑ k o
Sacha	S a ch a	s ɑ x a
Saddam	S a dd a m	s ɑ d ɑ m
Sade	S a d e	s a d ə
safe	s a f e	s e f
sahara	s a h a r a	s a h a r a
Said	S ai d	s ɑɪ t
Saint-Jean-Lasseille	S ai n t - J e a n - L a ss ei ll e	s ɑɪ n t j e a n l ɑ s ɛɪ l ə
Saint-Martin-des-Champs	S ai n t - M a r t i n - d e s - C h a m p s	s ɑɪ n t m ɑ r t i n d e s k h ɑ m p s
Saint-Sylvestre	S ai n t - S y l v e s t r e	s ɑɪ n t s i l v ɛ s t r ə
Saksen	S a k s e n	s ɑ k s ə n
Saksen-Weimar-Eisenach	S a k s e n - W ei m a r - Ei s e n a ch	s ɑ k s e n ʋ ɛɪ m a r ɛɪ s e n ɑ x
sal	s a l	s ɑ l
salade	s a l a d e	s a l a d ə
salades	s a l a d e s	s a l a d ɛ s
salariëring	s a l a r i ë r i ng	s a l a r i e r ɪ ŋ
salaris	s a l a r i s	s a l a r ɪ s
salarissen	s a l a r i ss e n	s a l a r ɪ s ə n
saldo	s a l d o	s ɑ l d o
Salem	S a l e m	s a l ɛ m
sales	s a l e s	s a l ɛ s
Sales	S a l e s	s a l ɛ s
salicylzuur	s a l i c y l z uu r	s a l i s i l z y r
Salische	S a l i sch e	s a l i s ə
Sallaerts	S a ll a e r t s	s ɑ l a ɛ r t s
Salman	S a l m a n	s ɑ l m ɑ n
Salmon	S a l m o n	s ɑ l m ɔ n
Salmone	S a l m o n e	s ɑ l m o n ə
Salomé	S a l o m é	s a l o m e
salon	s a l o n	s a l ɔ n
Saloniki	S a l o n i k i	s a l o n i k i
Salsadansen	S a l s a d a n s e n	s ɑ l s a d ɑ n s ə n
Salt	S a l t	s ɑ l t
Salusa	S a l u s a	s a l y s a
saluutschoten	s a l uu t s ch o t e n	s a l y t s x o t ə n
Salvia	S a l v i a	s ɑ l v i a
salviella	s a l v ie ll a	s ɑ l v i l a
Salzburg	S a l z b u r g	s ɑ l z b œ r ɣ
Sam	S a m	s ɑ m
Samandag	S a m a n d a g	s a m ɑ n d ɑ ɣ
Samantha	S a m a n t h a	s a m ɑ n t h a
samen	s a m e n	s a m ə n
Samen	S a m e n	s a m ə n
sàmen	s à m e n	s a m ə n
samen-trekkende	s a m e n - t r e kk e n d e	s a m e n t r ɛ k ɛ n d ə
samenbrengen	s a m e n b r e ng e n	s a m ɛ n b r ɛ ŋ ə n
Samendrukken	S a m e n d r u kk e n	s a m ɛ n d r œ k ə n
samengaan	s a m e ng aa n	s a m ɛ ŋ a n
samengepakt	s a m e ng e p a k t	s a m ɛ ŋ ə p ɑ k t
samengesteld	s a m e ng e s t e l d	s a m ɛ ŋ ə s t ɛ l t
samenhang	s a m e n h a ng	s a m e n h ɑ ŋ
samenhangende	s a m e n h a ng e n d e	s a m e n h ɑ ŋ ə n d ə
samenkomen	s a m e n k o m e n	s a m ɛ ŋ k o m ə n
samenleving	s a m e n l e v i ng	s a m ɛ n l e v ɪ ŋ
Samenloop	S a m e n l oo p	s a m ɛ n l o p
samenspel	s a m e n s p e l	s a m ɛ n s p ə l
samenspraak	s a m e n s p r aa k	s a m ɛ n s p r a k
samenstellen	s a m e n s t e ll e n	s a m ɛ n s t ɛ l ə n
samenstellinbg	s a m e n s t e ll i n b g	s a m ɛ n s t ɛ l ɪ n b ɣ
samenstelling	s a m e n s t e ll i ng	s a m ɛ n s t ɛ l ɪ ŋ
Samento	S a m e n t o	s a m ɛ n t o
samentrekking	s a m e n t r e kk i ng	s a m ɛ n t r ɛ k ɪ ŋ
samenvatten	s a m e n v a tt e n	s a m ɛ n v ɑ t ə n
samenvatting	s a m e n v a tt i ng	s a m ɛ n v ɑ t ɪ ŋ
samenvoegt	s a m e n v oe g t	s a m ɛ n v u ɣ t
samenwerken	s a m e n w e r k e n	s a m e n ʋ ɛ r k ə n
samenwerkende	s a m e n w e r k e n d e	s a m e n ʋ ɛ r k ɛ n d ə
samenwerking	s a m e n w e r k i ng	s a m e n ʋ ɛ r k ɪ ŋ
samenwerkingsverbanden	s a m e n w e r k i ng s v e r b a n d e n	s a m e n ʋ ɛ r k ɪ ŋ s v ɛ r b ɑ n d ə n
samenwonenden	s a m e n w o n e n d e n	s a m e n ʋ o n ɛ n d ə n
samenwoonde	s a m e n w oo n d e	s a m e n ʋ o n d ə
samenzijn	s a m e n z ij n	s a m ɛ n z ɛɪ n
Samhita	S a m h i t a	s a m h i t a
Samojedenkennels	S a m o j e d e n k e nn e l s	s a m o j e d ɛ ŋ k ɛ n ɛ l s
Samora	S a m o r a	s a m o r a
Samoya	S a m o y a	s a m o i a
Samson	S a m s o n	s ɑ m s ɔ n
Samsung	S a m s u ng	s ɑ m s œ ŋ
Samuel	S a m u e l	s a m y ə l
San	S a n	s ɑ n
Sanchi	S a n ch i	s ɑ n x i
sanctie	s a n c t ie	s ɑ n k s i
Sanctie	S a n c t ie	s ɑ n k s i
Sand	S a n d	s ɑ n t
sandaaltjes	s a n d aa l tj e s	s ɑ n d a l c ɛ s
Sandd	S a n dd	s ɑ n d
Sander	S a n d e r	s ɑ n d ə r
Sandt	S a n dt	s ɑ n t
Sanequi	S a n e qu i	s a n e kʋ i
Sangat-eiland	S a ng a t - ei l a n d	s ɑ ŋ a t ɛɪ l ɑ n t
Sangiang	S a ng i a ng	s ɑ ŋ i ɑ ŋ
Sanimed	S a n i m e d	s a n i m ɛ t
sanitair	s a n i t ai r	s a n i t ɑɪ r
Sanjay	S a n j ay	s ɑ n j eɪ
Sanne	S a nn e	s ɑ n ə
Sanskriet	S a n s k r ie t	s ɑ n s k r i t
Santa	S a n t a	s ɑ n t a
Santo	S a n t o	s ɑ n t o
Santokhi	S a n t o k h i	s ɑ n t o k h i
Saoedi-Arabië	S a oe d i - A r a b i ë	s a u d i a r a b i ə
Sapa	S a p a	s a p a
sapfles	s a p f l e s	s ɑ p f l ɛ s
sapnnende	s a p nn e n d e	s ɑ p n ɛ n d ə
Sappemeer	S a pp e m ee r	s ɑ p e m e r
Sapphire	S a pp h i r e	s ɑ p h i r ə
Sar	S a r	s ɑ r
Sara	S a r a	s a r a
Sarajevo	S a r a j e v o	s a r a j e v o
Sardijnse	S a r d ij n s e	s ɑ r d ɛɪ n s ə
Saré	S a r é	s a r e
Sarkozy	S a r k o z y	s ɑ r k o z i
Sascha	S a s ch a	s ɑ s x a
Saskia	S a s k i a	s ɑ s k i a
satelietschotelwinkel	s a t e l ie t s ch o t e l w i n k e l	s a t e l i t s x o t e l ʋ ɪ ŋ k ə l
satelliet	s a t e ll ie t	s a t ɛ l i t
satellieten	s a t e ll ie t e n	s a t ɛ l i t ə n
satellietprogramma	s a t e ll ie t p r o g r a mm a	s a t ɛ l i t p r ɔ ɣ r ɑ m a
Saten	S a t e n	s a t ə n
satire	s a t i r e	s a t i r ə
Satori	S a t o r i	s a t o r i
sauna	s au n a	s ɑu n a
sauna-arrangement	s au n a - a rr a ng e m e n t	s ɑu n a ɑ r ɑ ŋ ə m ɛ n t
sauna-tje	s au n a - tj e	s ɑu n a c ə
sauna's	s au n a ' s	s ɑu n a s
saus	s au s	s ɑu s
Saussaye	S au ss a y e	s ɑu s a i ə
Savr	S a v r	s ɑ v r
Sawakin	S a w a k i n	s a ʋ a k ɪ n
saxen	s a x e n	s ɑ ks ə n
Saxo	S a x o	s ɑ ks o
saxofoon	s a x o f oo n	s ɑ ks o f o n
Saxofoon	S a x o f oo n	s ɑ ks o f o n
sc	s c	s k
scala	s c a l a	s k a l a
scan	s c a n	s k ɑ n
Scandinavië	S c a n d i n a v i ë	s k ɑ n d i n a v i ə
Scania	S c a n i a	s k a n i a
scannen	s c a nn e n	s k ɑ n ə n
scanner	s c a nn e r	s k ɑ n ə r
scanners	s c a nn e r s	s k ɑ n ɛ r s
scans	s c a n s	s k ɑ n s
Scapino	S c a p i n o	s k a p i n o
Scarabaeidae	S c a r a b a ei d a e	s k a r a b a ɛɪ d a ə
scenario	s c e n a r i o	s s e n a r i o
scenario's	s c e n a r i o ' s	s s e n a r i o s
scène	sc è n e	s ɛ: n ə
scenes	sc e n e s	s e n ɛ s
scènes	sc è n e s	s ɛ: n ɛ s
sceptisch	s c e p t i sch	s s ɛ p t i s
schaad	s ch aa d	s x a t
schaakboeken-katalogus	s ch aa k b oe k e n - k a t a l o g u s	s x a k b u k e n k a t a l o ɣ œ s
schaal	s ch aa l	s x a l
